ticker,total_volume,adf,adf_10%_level,below_10%,adf_p,natr_min,natr_mean,min_price,mean_price,max_price
SE,991677132.0,-1.12327767021443,-2.56678582924922,False,0.705700341202204,0.027731394161206048,0.1334107853313761,92.755,136.3667138308816,199.255
HAL,2990237088.0,-1.6552167637445665,-2.56678582924922,False,0.45432116793922533,0.0397654660391203,0.12050121179865761,18.7819,24.665479737094948,32.55
EVGO,1415063555.0,-1.4032163550535388,-2.56678582924922,False,0.5807331897995023,0.11863483164497964,0.300565628281356,2.21,4.21364459016562,9.07
VRT,1970783407.0,-1.5308572294839056,-2.56678582924922,False,0.5181952575310275,0.04879376591960246,0.20788498063235317,54.31,114.05325317317147,155.45
WMB,1712722496.0,-3.6168836538811364,-2.56678582924922,True,0.005446332100338458,0.027605366749097516,0.09194304402771288,45.24,57.152923497644274,64.48
GME,2465843775.0,-2.5442330624435194,-2.56678582924922,False,0.10507942028575856,0.04760311249384929,0.19839245220028764,20.328,25.575623517148436,35.7318
BX,934893643.0,-1.5789182914312325,-2.56678582924922,False,0.49417428783709705,0.032621943856602234,0.11463714296834492,115.9821,161.44633173509928,200.435
GSK,1267289504.0,-1.6958142881318758,-2.56678582924922,False,0.4332703617341965,0.02150074275531564,0.061942980967311996,31.72,37.48448802943113,43.315
AAOI,1033507063.0,-2.0609651282020764,-2.56678582924922,False,0.2604974959225502,0.09008263465589379,0.3414611718853311,9.715,23.437137304217675,44.46
KDP,3085740073.0,-0.7064101139731271,-2.56678582924922,False,0.8450821797441836,0.026084508098208854,0.07481382843073547,25.35,32.87795092547063,37.665
UNH,2475938618.0,-1.103339038014352,-2.56678582924922,False,0.7137385000773321,0.030640901570378506,0.11848435862049864,234.935,440.3858746710832,630.06
KHC,2894202809.0,-1.8621177948681085,-2.56678582924922,False,0.350086453236229,0.029674094883599803,0.08254658639364952,25.44,29.413629061341425,36.3
ZETA,1728595859.0,-2.215295112300454,-2.56678582924922,False,0.20074112022184704,0.056020461738403866,0.23327298280142464,10.695,18.6791364247814,37.92
COMM,1339494958.0,-0.0166714601538223,-2.56678582924922,False,0.9571314599508834,0.06641763360583315,0.23735587894281895,2.95,7.33038490604876,17.12
COTY,1802144992.0,-2.1024880136710826,-2.56678582924922,False,0.24351533634938638,0.053004904898939983,0.16329426913823983,3.675,5.874546396132086,9.48
HUT,1436668874.0,-1.0544303068441672,-2.56678582924922,False,0.7328984642729268,0.09684972234981225,0.30456202726373643,10.04,19.846896777111407,39.45
ETSY,1148722042.0,-1.9188506224198274,-2.56678582924922,False,0.32324580440389256,0.04477666729645389,0.14836934591542855,40.47,53.536960052268284,75.69
FCX,3529015956.0,-2.6594888072461376,-2.56678582924922,True,0.0813146158725831,0.0355187943367693,0.12102314695056114,27.95,41.1545662654768,51.405
MVIS,1352199056.0,-3.6531011559780993,-2.56678582924922,True,0.0048233322700290725,0.07148486207293457,0.5470093091440474,0.8001,1.1961010242876249,1.9499
PCG,5049732021.0,-1.2473058584958625,-2.56678582924922,False,0.6529223169347429,0.032926539296661034,0.10326596335025467,12.975,16.950937532126325,21.715
BMY,2994432669.0,-1.132860671643137,-2.56678582924922,False,0.701791181338715,0.02594780457671466,0.09194451164910691,43.16,52.41550907899393,63.155
AI,1551137231.0,-1.3736995136145205,-2.56678582924922,False,0.5948179551085068,0.05461027382726853,0.21313441271566672,14.9337,25.774476575578646,44.93
ZIM,1441209539.0,-2.1648620076638783,-2.56678582924922,False,0.21924471126454398,0.046254645445852755,0.17808353129798787,11.075,17.938808360364163,30.04
APA,1824861335.0,-1.7983294067479,-2.56678582924922,False,0.3812914116629065,0.05198419902371837,0.1416303181629329,13.61,20.966265433041865,27.465
PTON,3539346232.0,-2.540086849201798,-2.56678582924922,False,0.10602285258981659,0.09421452796478103,0.2737895328128426,4.33,7.381545192881391,10.87
SBSW,2070024639.0,1.126322645806515,-2.56678582924922,False,0.995435131428774,0.056998010416515116,0.20163486156408625,3.05,5.583126194187841,11.525
HIMS,6814620836.0,-1.958294213356038,-2.56678582924922,False,0.30515352532420903,0.08785986411491153,0.366744088585923,16.0901,39.52605002532661,72.89
WOOF,1007706247.0,-2.4113655503701588,-2.56678582924922,False,0.13855422827368485,0.10018708608970725,0.2752638879778016,2.29,3.5344264559304595,6.026
HLN,2655500605.0,-1.9847609979130696,-2.56678582924922,False,0.2932945823547404,0.03641706247184424,0.08094799739744328,8.71,9.951667611336283,11.42
CZR,1298607249.0,-1.5899043099999917,-2.56678582924922,False,0.48866292009473933,0.04787292159666617,0.1420233290979755,21.43,31.625874815687688,45.89
FISV,960347288.0,-0.45186520416853376,-2.56678582924922,False,0.9010723828132627,0.02212277015118894,0.08734073310029392,127.415,186.38833797242052,238.47
KSS,2456833244.0,-1.9554905304147063,-2.56678582924922,False,0.30642324597363313,0.06186290822977291,0.2080967161583698,6.0488,12.52177215622878,21.155
HST,2139049699.0,-1.8575164335871306,-2.56678582924922,False,0.35230287580868347,0.03919899050392379,0.09670675084229036,12.25,16.4096792243082,19.34
BE,2001804158.0,2.2721697532093588,-2.56678582924922,False,0.9989368194301862,0.07295996988954573,0.26462787528568815,9.025,26.80268088517642,86.8
D,1192143239.0,-2.272822956475407,-2.56678582924922,False,0.18088295172880092,0.0253794609340633,0.07340189952157769,48.09,56.61508407773891,62.425
EXK,2580600798.0,0.17281122307800864,-2.56678582924922,False,0.970694760529605,0.0967375633285094,0.25438765019686704,2.96,4.581755675023145,8.19
S,1339247829.0,-1.3858122770443482,-2.56678582924922,False,0.5890586752593853,0.049769321582090284,0.14028235064935662,15.701,20.86140405016973,29.155
AAL,12846534466.0,-1.405332228111075,-2.56678582924922,False,0.5797171284092466,0.06613436495356816,0.1752817298720404,8.505,13.09684762306347,19.0615
NCLH,3238983629.0,-1.7184247542584015,-2.56678582924922,False,0.4216453621591356,0.047046256020559576,0.15206712318921894,14.245,22.890073365147614,29.26
BBWI,1255860929.0,-1.8767550979130292,-2.56678582924922,False,0.34307400291771656,0.04422918807346601,0.14304511313658025,24.9346,31.882149748997012,41.83
OXY,2792916667.0,-2.175143490933733,-2.56678582924922,False,0.21539028797721466,0.03539517349120154,0.10053016973435339,34.82,46.592652555056056,56.425
BORR,1240634754.0,-2.592766401026788,-2.56678582924922,True,0.09450154060889931,0.06630368989186237,0.2749042156880618,1.555,2.9243908003291836,5.705
CMCSA,5227828978.0,-1.4027676253422945,-2.56678582924922,False,0.5809485672576833,0.032430247538282504,0.08258709211893761,31.035,36.44484332286802,45.205
VALE,8214475927.0,-2.7633141374762005,-2.56678582924922,True,0.0637081691926383,0.05606586721390758,0.11909836188360398,8.065,9.825028431725134,12.035
DOW,2450993941.0,-1.7636847315919724,-2.56678582924922,False,0.3986343532203707,0.02606004989311398,0.11275386012693561,20.4172,34.75868695414052,55.595
TGT,1642277559.0,-1.4968170252242416,-2.56678582924922,False,0.535085319266526,0.03300198139641637,0.10438581694738479,86.33,115.69613827232797,161.39
BEN,1028800314.0,-1.5336837779713666,-2.56678582924922,False,0.5167875627003369,0.02837113869829804,0.08610588054285531,16.34,21.64343440693344,26.065
MSTR,4139684649.0,-2.982633296219415,-2.56678582924922,True,0.036548369482350435,0.09613021206912128,0.31366194301808076,157.2418,338.8040979986524,535.23
TSCO,1285114832.0,-2.3601147317174362,-2.56678582924922,False,0.15331151675238364,0.0301134829496532,0.09133799074234446,46.925,55.37328524431643,62.8769
UBER,5147244143.0,-1.0549579074920472,-2.56678582924922,False,0.7326960733486537,0.04026295058179814,0.12972573050870498,59.735,79.92371256583685,101.985
MGM,1189969491.0,-2.38716014019057,-2.56678582924922,False,0.1453932064345132,0.03649324050691025,0.11107911466863017,25.34,35.008013819277856,42.53
HL,4744641616.0,1.8874487690405324,-2.56678582924922,False,0.9985075563759388,0.10052973779608321,0.22570015512911612,4.475,6.290493017415905,12.24
MBLY,1358361909.0,-2.786736020112001,-2.56678582924922,True,0.0601935542825805,0.0504176151885189,0.21526877004696626,11.1697,15.557230733463633,22.4674
LCID,2502446200.0,-3.0780862324624203,-2.56678582924922,True,0.02821798559350932,0.10383684009431003,0.476984955294077,15.28,24.850187039399238,36.0
ARRY,1632051295.0,-2.4665162301111763,-2.56678582924922,False,0.1238352638013831,0.0912174188958309,0.27184609746591715,3.789,6.62583502993519,9.9572
